country,pop
China,1402189880
India,1360979857
United States,329619014
Indonesia,266911900
Pakistan,219269520
Brazil,211385256
Nigeria,206139587
Bangladesh,168433806
Russia,146745098
Mexico,126577691
Japan,125950000
Philippines,108534863
Egypt,100243301
Ethiopia,98665000
Vietnam,96208984
DR Congo,89561404
Iran,83361074
Turkey,83154997
Germany,83149300
France,67076000
Thailand,66492867
United Kingdom,66435550
Italy,60238522
South Africa,58775022
Tanzania,55890747
Myanmar,54339766
South Korea,51780579
Colombia,49395678
Kenya,47564296
Spain,47100396
Argentina,44938712
Algeria,43000000
Sudan,42422125
Ukraine,41879904
Uganda,40299300
Iraq,39127900
Poland,38379000
Canada,37991960
Morocco,35867310
Saudi Arabia,34218169
Uzbekistan,34124189
Malaysia,32748760
Afghanistan,32225560
Venezuela,32219521
Peru,32131400
Angola,31127674
Ghana,30280811
Mozambique,30066648
Nepal,29996478
Yemen,29825968
Cameroon,26545864
Madagascar,26251309
Ivory Coast,25823071
Australia,25676652
North Korea,25450000
Taiwan,23604265
Niger,22314743
Sri Lanka,21803000
Burkina Faso,20870060
Mali,20250833
Romania,19405156
Malawi,19129952
Chile,19107216
Kazakhstan,18681248
Zambia,17885422
Syria,17500657
Ecuador,17464160
Netherlands,17454881
Guatemala,16604026
Chad,16244513
Senegal,16209125
Somalia,15893219
Cambodia,15288489
Zimbabwe,15159624
South Sudan,12778250
Rwanda,12374397
Guinea,12218357
Benin,11733059
Tunisia,11722038
Haiti,11577779
Belgium,11524454
Bolivia,11469896
Cuba,11209628
Burundi,10953317
Greece,10724599
Czech Republic,10693939
Jordan,10657360
Dominican Republic,10358320
Sweden,10338368
Portugal,10276617
Azerbaijan,10067108
United Arab Emirates,9890400
Hungary,9772756
Belarus,9408400
Israel,9184950
Honduras,9158345
Tajikistan,9127000
Papua New Guinea,8935000
Austria,8902600
Switzerland,8603900
Sierra Leone,7901454
Togo,7538000
Hong Kong (China),7500700
Paraguay,7152703
Laos,7123205
Bulgaria,7000039
Serbia,6963764
Libya,6871287
Lebanon,6825442
Kyrgyzstan,6533500
El Salvador,6486201
Nicaragua,6460411
Turkmenistan,6031187
Denmark,5822763
Singapore,5703600
Finland,5527573
Congo,5518092
Central African Republic,5496011
Slovakia,5456362
Norway,5367580
Costa Rica,5058007
New Zealand,4977774
Palestine,4976684
Ireland,4921500
Oman,4664790
Liberia,4475353
Kuwait,4420110
Panama,4218808
Mauritania,4077347
Croatia,4076246
Georgia,3723464
Uruguay,3518552
Eritrea,3497117
Mongolia,3312393
Bosnia and Herzegovina,3301000
Puerto Rico (US),3193694
Armenia,2957500
Albania,2845955
Lithuania,2793471
Qatar,2747282
Jamaica,2726667
Moldova,2681735
Namibia,2458936
Gambia,2347706
Botswana,2338851
Gabon,2172579
Slovenia,2094060
North Macedonia,2077132
Lesotho,2007201
Latvia,1906800
Kosovo,1795666
Guinea-Bissau,1604528
Bahrain,1543300
East Timor,1387149
Trinidad and Tobago,1363985
Equatorial Guinea,1358276
Estonia,1328360
Mauritius,1265985
Eswatini,1093238
Djibouti,1078373
Fiji,884887
Cyprus,875900
Comoros,873724
Guyana,782766
Bhutan,741672
Solomon Islands,680806
Macau (China),679600
Montenegro,622359
Luxembourg,626108
Western Sahara,582463
Suriname,581372
Cape Verde,550483
Malta,493559
Transnistria,469000
Brunei,442400
Belize,408487
Bahamas,385340
Maldives,374775
Iceland,364260
Northern Cyprus,351965
Vanuatu,304500
Barbados,287025
New Caledonia (France),282200
French Polynesia (France),275918
Abkhazia,244832
São Tomé and Príncipe,201784
Samoa,200874
Saint Lucia,178696
Guam (US),172400
Curaçao (Netherlands),158665
Artsakh,148000
Kiribati,120100
Aruba (Netherlands),112309
Grenada,112003
Saint Vincent and the Grenadines,110608
Jersey,106800
U.S. Virgin Islands (US),104578
F.S. Micronesia,104468
Tonga,100651
Seychelles,97625
Antigua and Barbuda,96453
Isle of Man,83314
Andorra,77543
Dominica,71808
Cayman Islands (UK),65813
Bermuda (UK),64027
Guernsey,62792
American Samoa (US),56700
Greenland (Denmark),56081
Northern Mariana Islands (US),56200
Marshall Islands,55500
South Ossetia,53532
Saint Kitts and Nevis,52823
Faroe Islands (Denmark),52124
Turks and Caicos Islands (UK),41369
Sint Maarten (Netherlands),40614
Liechtenstein,38749
Monaco,38300
Saint Martin (France),35746
Gibraltar (UK),33701
San Marino,33574
British Virgin Islands (UK),30030
Åland Islands (Finland),29885
Palau,17900
Cook Islands (NZ),15200
Anguilla (UK),14869
Wallis and Futuna (France),11700
Nauru,11000
Tuvalu,10200
Saint Barthélemy (France),9793
Saint Pierre and Miquelon (France),6008
"Saint Helena, Ascensionand Tristan da Cunha (UK)",5633
Montserrat (UK),4989
Falkland Islands (UK),3198
Christmas Island (Australia),1928
Norfolk Island (Australia),1756
Niue (NZ),1520
Tokelau (NZ),1400
Vatican City,799
Cocos (Keeling) Islands (Australia),538
Pitcairn Islands (UK),50
World,7778262000
